Aryabhatta,Aryabhata,Kapustin Yar
Bhaskara Sega-I,Bhaskara-I,Kapustin Yar
Rohini Technology Payload,Rohini Technology Payload (RTP),"Satish Dhawan Space Centre,
Sriharikota"
Rohini RS-1 (Rohini-1B),Rohini Satellite RS-1,"Satish Dhawan Space Centre, Sriharikota"
Rohini RS-D1 (Rohini-2),Rohini Satellite RS-D1,"Satish Dhawan Space Centre, Sriharikota"
APPLE,APPLE,"Centre Spatial Guyanais, Kourou"
Bhaskara -II,Bhaskara-II,Kapustin Yar
INSAT-1A,INSAT-1A,"Air Force Eastern Test Range, Florida"
Rohini RS-D2 (Rohini-3),Rohini Satellite RS-D2,"Satish Dhawan Space Centre, Sriharikota"
INSAT-1B,INSAT-1B,"Air Force Eastern Test Range, Florida"
SROSS-1,SROSS-1,"Satish Dhawan Space Centre, Sriharikota"
IRS-1A,IRS-1A,"Baikonur Cosmodrome, Kazakhstan"
SROSS-2,SROSS-2,"Satish Dhawan Space Centre, Sriharikota"
INSAT-1C,INSAT-1C,"Centre Spatial Guyanais, Kourou"
INSAT-1D,INSAT-1D,"Air Force Eastern Test Range, Florida"
IRS-1B,IRS-1B,"Baikonur Cosmodrome, Kazakhstan"
SROSS-C (SROSS-3),SROSS-C,"Satish Dhawan Space Centre, Sriharikota"
INSAT-2A,INSAT-2A,"Centre Spatial Guyanais, Kourou"
INSAT-2B,INSAT-2B,"Centre Spatial Guyanais, Kourou"
IRS-1E,IRS-1E,"Satish Dhawan Space Centre, Sriharikota"
SROSS-C2,SROSS-C2,"Satish Dhawan Space Centre, Sriharikota"
IRS-P2,IRS-P2,"Satish Dhawan Space Centre, Sriharikota"
INSAT-2C,INSAT-2C,"Centre Spatial Guyanais, Kourou"
IRS-1C,IRS-1C,"Baikonur Cosmodrome, Kazakhstan"
IRS-P3 (IRS B3),IRS-P3,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
INSAT-2D,INSAT-2D,"Centre Spatial Guyanais, Kourou"
IRS-1D,IRS-1D,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
INSAT-2E (APR-1),INSAT-2E,"Centre Spatial Guyanais, Kourou"
OceanSat-1 (IRS-P4),Oceansat(IRS-P4),"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
INSAT-3B,INSAT-3B,"Centre Spatial Guyanais, Kourou"
"GSAT-1
(GramSat-1)",GSAT-1,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
TES,The Technology Experiment Satellite (TES),"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
INSAT-3C,INSAT-3C,"Centre Spatial Guyanais, Kourou"
Kalpana-1 (MetSat-1),KALPANA-1,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
INSAT-3A,INSAT-3A,"Centre Spatial Guyanais, Kourou"
GSAT-2 (GramSat-2),GSAT-2,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
INSAT-3E,INSAT-3E,"Centre Spatial Guyanais, Kourou"
ResourceSat-1(IRS-P6),IRS-P6 / RESOURCESAT-1,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
,EDUSAT,
HamSat,HAMSAT,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
CartoSat-1,CARTOSAT-1,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
INSAT-4A,INSAT-4A,"Centre Spatial Guyanais, Kourou"
INSAT-4C,INSAT-4C,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
SRE-1,SRE-1,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
"CartoSat-2 (IRS-P7 or, CartoSat-2AT)",CARTOSAT-2,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
INSAT-4CR,INSAT-4CR,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
CartoSat-2A,CARTOSAT – 2A,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
"IMS-1 (Indian Mini-Satellite-1 or,
(Third World
Satellite – TWSat)",IMS-1,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
